method,region,n_matched,match_rate_method,match_rate_hubmap,cellcount_method,cellcount_hubmap,cellcount_diff,purity,ari,nmi,f1_macro,f1_weighted
CellSAM,B004-A-408,15372,0.6492376567977362,0.6061036195883606,23677,25362,-1685,0.6729768410096278,0.3604779517021211,0.5393765380287138,0.3326274738208787,0.4898942155311709
CellSAM,B004-A-504,22238,0.6508238461763587,0.6381427915518825,34169,34848,-679,0.6003687381958809,0.3402260043115779,0.5004568509498377,0.2807953975115241,0.4907465107970114
InstanSeg,B004-A-004,14989,0.6276275018842643,0.6442171315597198,23882,23267,615,0.7209953966241911,0.5730023782517726,0.6000063020798483,0.32172237007821797,0.6573409215351295
InstanSeg,B004-A-008,15956,0.5169777086573354,0.6220177763917043,30864,25652,5212,0.6097392830283279,0.3545996866570824,0.5045978224598506,0.24825549100905592,0.5352171574949615
InstanSeg,B004-A-104,20401,0.5210317967054016,0.6161210437303697,39155,33112,6043,0.579089260330376,0.24878330564933504,0.44388020130425865,0.23249133751639894,0.4593773045409821
InstanSeg,B004-A-204,11053,0.5506127328883132,0.5904064953795203,20074,18721,1353,0.652763955487198,0.42607444720382376,0.5612316422041972,0.28551354469702533,0.5649738447409679
InstanSeg,B004-A-304,14206,0.6192136692528987,0.6270303672316384,22942,22656,286,0.6686611291003801,0.4133910942899252,0.5544038137905809,0.32395390454506073,0.5179254449374557
InstanSeg,B004-A-404,22244,0.5868974433392259,0.6100263273365512,37901,36464,1437,0.6539291494335551,0.46535067928681123,0.5698954085747329,0.34538487746985275,0.5672935181654924
InstanSeg,B004-A-408,15537,0.535703203116919,0.6126094156612255,29003,25362,3641,0.6563043058505503,0.34601288039552847,0.5254174441219666,0.3305295443094941,0.48510619508561864
InstanSeg,B004-A-504,23212,0.5670730217672783,0.6660927456382002,40933,34848,6085,0.5909012579700155,0.3486718754712623,0.50239810728614,0.28405423841814814,0.49397484174397294
